ISIN,RANK,POWERRATING,DATE_V1
INF109KC1U27,4,IN_FORM,2026-04-01
INF194KB1CE5,4,ON_TRACK,2026-04-01
INF223J01AU8,4,OFF_TRACK,2026-04-01
INF209KB15C1,5,ON_TRACK,2026-04-01
INF740KA1QM8,1,IN_FORM,2026-04-01
INF109KC1F00,3,ON_TRACK,2026-04-01
INF209K01512,2,ON_TRACK,2026-04-01
INF846K01X30,3,ON_TRACK,2026-04-01
INF846K014K5,6,ON_TRACK,2026-04-01
INF084M01EC8,5,OFF_TRACK,2026-04-01
INF109K01E35,5,ON_TRACK,2026-04-01
INF084M01AT0,5,OFF_TRACK,2026-04-01
INF769K01IR7,,IN_FORM,2026-04-01
INF084M01BB6,4,ON_TRACK,2026-04-01
INF109KC1F26,3,ON_TRACK,2026-04-01
INF209K01WT1,2,ON_TRACK,2026-04-01
INF205K01B56,1,IN_FORM,2026-04-01
INF740K01LR2,1,IN_FORM,2026-04-01
INF205K01B15,1,IN_FORM,2026-04-01
INF205KA1577,2,IN_FORM,2026-04-01
INF200KA1U02,2,IN_FORM,2026-04-01
INF769K01HQ1,,ON_TRACK,2026-04-01
INF209KB16C9,5,ON_TRACK,2026-04-01
INF194KB1CD7,4,ON_TRACK,2026-04-01
INF109KC1U43,4,IN_FORM,2026-04-01
INF194KB1CG0,4,ON_TRACK,2026-04-01
INF846K01Z38,3,ON_TRACK,2026-04-01
INF336L01CH7,1,IN_FORM,2026-04-01
INF109KC1U76,4,IN_FORM,2026-04-01
INF084M01EJ3,4,ON_TRACK,2026-04-01
INF109KC1F59,3,ON_TRACK,2026-04-01
INF846K01X14,3,ON_TRACK,2026-04-01
INF174K01DX9,2,IN_FORM,2026-04-01
INF903J01EX1,1,IN_FORM,2026-04-01
INF740KA1QN6,1,IN_FORM,2026-04-01
INF740K01LP6,1,IN_FORM,2026-04-01
INF109K01E43,5,ON_TRACK,2026-04-01
INF194KB1CH8,4,ON_TRACK,2026-04-01
