ISIN,RANK,POWERRATING
INF397L01JM4,29,OUT_OF_FORM
INF204K01G86,11,ON_TRACK
INF277K016Z6,6,OFF_TRACK
INF192K01JO7,18,ON_TRACK
INF194K01342,10,ON_TRACK
INF846K01J46,15,OFF_TRACK
INF767K01QZ7,23,OFF_TRACK
INF209KB13G7,12,ON_TRACK
INF109K01Z48,3,ON_TRACK
INF109K01FO9,3,ON_TRACK
INF336L01PB2,12,ON_TRACK
INF174KA1UP8,2,IN_FORM
INF209K01CT3,13,OFF_TRACK
INF789F01505,37,OUT_OF_FORM
INF277KA1BT6,,ON_TRACK
INF204K01D55,2,IN_FORM
INF740KA1ML9,2,IN_FORM
INF251K01QZ2,17,ON_TRACK
INF277K016K8,23,OFF_TRACK
INF192K01MS2,21,OFF_TRACK
INF204K01F12,11,ON_TRACK
INF277KA1BB4,,ON_TRACK
INF579M01AN2,16,ON_TRACK
INF194K01540,2,IN_FORM
INF209K01CB1,26,OFF_TRACK
INF205K01171,5,IN_FORM
INF174K01LI3,10,ON_TRACK
INF204KA1W10,16,OFF_TRACK
INF760K01KT8,11,ON_TRACK
INF846K01VL9,11,ON_TRACK
INF204KC1113,26,OFF_TRACK
INF843K01013,4,IN_FORM
INF966L01AE2,1,IN_FORM
INF090I01WN2,10,ON_TRACK
INF178L01AJ3,9,ON_TRACK
INF109KC1W33,5,IN_FORM
INF200KB1894,7,ON_TRACK
INF277K01DI1,19,OFF_TRACK
INF917K01D61,14,ON_TRACK
INF277KA1EA0,15,ON_TRACK
INF109KC1O66,4,OFF_TRACK
INF789F01TZ5,28,OUT_OF_FORM
INF582M01781,27,OFF_TRACK
INF179KA1KM1,15,ON_TRACK
INF200K01UH9,7,IN_FORM
INF200KA19O9,3,IN_FORM
INF767K01RK7,5,IN_FORM
INF109KC1O25,2,IN_FORM
INF109KC1O74,4,OFF_TRACK
INF179K01YT2,7,IN_FORM
INF666M01DK7,35,OUT_OF_FORM
INF740K019C8,13,ON_TRACK
INF174V01788,2,IN_FORM
INF966L01CT6,7,OUT_OF_FORM
INF204K01489,2,IN_FORM
INF109KC10J7,2,IN_FORM
INF109KC13Y0,4,IN_FORM
INF903J01HC8,18,OFF_TRACK
INF200KB1589,6,IN_FORM
INF204K01IN4,29,ON_TRACK
INF173K01GZ9,5,IN_FORM
INF204K01AN1,3,IN_FORM
INF760K01266,5,IN_FORM
INF194KB1DX3,2,IN_FORM
INF200K01537,20,IN_FORM
INF760K01FM3,5,IN_FORM
INF247L01551,9,IN_FORM
INF174K01LV6,8,IN_FORM
INF090I01551,20,OFF_TRACK
INF174K01LT0,8,IN_FORM
INF00XX01895,14,ON_TRACK
INF666M01IF6,,IN_FORM
INF582M01112,16,ON_TRACK
INF194KB1IK9,9,ON_TRACK
INF205KA1460,11,ON_TRACK
INF178L01079,9,ON_TRACK
INF959L01HJ1,36,ON_TRACK
INF179K01AZ9,1,IN_FORM
INF397L01AZ5,17,OFF_TRACK
INF174V01713,13,ON_TRACK
INF174KA1RX8,1,IN_FORM
INF179KC1BR7,13,ON_TRACK
INF789F01TN1,8,OFF_TRACK
INF336L01CM7,19,OFF_TRACK
INF917K01IN1,28,OUT_OF_FORM
INF200KA15Y6,37,ON_TRACK
INF109KC1YD4,4,IN_FORM
INF754K01517,19,ON_TRACK
INF740K01PK8,21,ON_TRACK
INF194KB1GL1,4,IN_FORM
INF789F01WZ9,7,IN_FORM
INF223J01FE1,20,OUT_OF_FORM
INF179K01GG6,8,ON_TRACK
INF209K01LB2,14,IN_FORM
INF579M01AI2,2,IN_FORM
INF754K01BP8,7,IN_FORM
INF109KC14E0,6,IN_FORM
INF173K01EK6,24,OUT_OF_FORM
INF740K01PI2,21,ON_TRACK
INF903JA1JB2,24,OUT_OF_FORM
INF109K01TN2,6,ON_TRACK
INF846K01VK1,11,ON_TRACK
INF174KA1UI3,7,ON_TRACK
INF846K013C4,4,IN_FORM
INF044D01740,28,OUT_OF_FORM
INF789F01307,6,IN_FORM
INF903J01OQ4,18,OFF_TRACK
INF277K018X7,18,OFF_TRACK
INF205KA1023,18,OFF_TRACK
INF754K01EG1,4,IN_FORM
INF754K01NB3,17,IN_FORM
INF109K011J5,16,OUT_OF_FORM
INF917K01D79,14,ON_TRACK
INF760K01JW4,13,ON_TRACK
INF194KB1CO4,15,IN_FORM
INF754K01SO5,1,IN_FORM
INF109K014K7,6,ON_TRACK
INF109KC17T1,,ON_TRACK
INF277KA1AS0,3,IN_FORM
INF109K01514,3,ON_TRACK
INF666M01FK2,27,OUT_OF_FORM
INF204K01AE0,6,IN_FORM
INF200KA13Y1,37,ON_TRACK
INF209KA1LE0,13,ON_TRACK
INF109K016N6,1,IN_FORM
INF789F01UQ2,27,OUT_OF_FORM
INF03VN01613,3,IN_FORM
INF247L01650,29,OUT_OF_FORM
INF090I01PD7,15,OFF_TRACK
INF336L01NX1,12,ON_TRACK
INF966L01AO1,14,ON_TRACK
INF740KA1UN8,4,IN_FORM
INF179KC1ID2,1,IN_FORM
INF917K01544,17,OFF_TRACK
INF209K01WN4,16,OFF_TRACK
INF192K01JM1,18,ON_TRACK
INF666M01HW3,4,IN_FORM
INF843K01KF1,4,IN_FORM
INF955L01HE0,3,IN_FORM
INF194KA1U15,8,ON_TRACK
INF209KB1Z48,4,IN_FORM
INF754K01SS6,1,IN_FORM
INF174KA1OT3,,ON_TRACK
INF209K01157,21,OUT_OF_FORM
INF205K01221,19,OFF_TRACK
INF966L01AT0,23,OFF_TRACK
INF205K01296,31,OFF_TRACK
INF109KA16I0,13,ON_TRACK
INF204K01XF9,2,IN_FORM
INF204KC1EE8,2,IN_FORM
INF204KB15W0,10,ON_TRACK
INF200KA18O1,3,IN_FORM
INF204KB1BE5,9,ON_TRACK
INF179KC1BL0,8,ON_TRACK
INF194K01Z44,9,ON_TRACK
INF769K01MB3,6,IN_FORM
INF663L01FH7,27,OFF_TRACK
INF789F01695,8,OFF_TRACK
INF754K01QF7,,ON_TRACK
INF109KC1O17,2,IN_FORM
INF251K01TA9,11,IN_FORM
INF200KA1DF3,12,ON_TRACK
INF204KC1GI4,,ON_TRACK
INF109KC15Y5,4,IN_FORM
INF740K01078,9,ON_TRACK
INF090I01OY6,15,OFF_TRACK
INF204K01F79,9,ON_TRACK
INF209K01355,26,OUT_OF_FORM
INF209KC1357,,OFF_TRACK
INF277KA1AQ4,2,IN_FORM
INF277K019Y3,12,OFF_TRACK
INF173K01FG1,22,OFF_TRACK
INF277KA1BS8,,ON_TRACK
INF903J01PQ1,17,OFF_TRACK
INF179K01BB8,1,IN_FORM
INF192K01KO5,23,ON_TRACK
INF205K01LM7,19,OFF_TRACK
INF174V01689,9,ON_TRACK
INF205K01DN2,22,OUT_OF_FORM
INF903J01199,9,ON_TRACK
INF174K01KB0,5,IN_FORM
INF277K01QI3,15,OFF_TRACK
INF336L01QZ9,5,IN_FORM
INF740K01PS1,14,ON_TRACK
INF789F01TS0,14,OFF_TRACK
INF209K01264,5,IN_FORM
INF090I01GW6,7,ON_TRACK
INF251K01PF6,11,IN_FORM
INF846K014H1,,ON_TRACK
INF251K01HS6,11,ON_TRACK
INF666M01170,21,OFF_TRACK
INF204K01GC1,6,IN_FORM
INF959L01GU0,21,ON_TRACK
INF204KA1V94,16,OFF_TRACK
INF194KB1IX2,,ON_TRACK
INF00XX01AS2,17,OFF_TRACK
INF204KC1GM6,,ON_TRACK
INF247L01478,24,OFF_TRACK
INF754K01QI1,1,IN_FORM
INF109K1A245,,IN_FORM
INF174K01F00,7,IN_FORM
INF204K01IQ7,29,ON_TRACK
INF769K01FC5,11,ON_TRACK
INF205K01LL9,19,OFF_TRACK
INF109K01779,6,ON_TRACK
INF760K01EJ2,22,ON_TRACK
INF204KC1600,4,IN_FORM
INF760K01AP7,12,ON_TRACK
INF194KB1GD8,13,OFF_TRACK
INF200K01198,3,ON_TRACK
INF109K013M5,18,OFF_TRACK
INF109K017N4,1,IN_FORM
INF761K01EF8,25,ON_TRACK
INF109KC18C5,5,ON_TRACK
INF174V01BG5,9,IN_FORM
INF760K01GB4,12,ON_TRACK
INF200KB1860,7,ON_TRACK
INF846K01875,18,OFF_TRACK
INF194K01X53,15,OFF_TRACK
INF846K01131,33,OUT_OF_FORM
INF174KA1OX5,1,ON_TRACK
INF277K01MZ6,19,OFF_TRACK
INF209KB1W25,,ON_TRACK
INF740K01PR3,14,ON_TRACK
INF740KA1WT1,,ON_TRACK
INF200K01QX4,5,IN_FORM
INF397L01LG2,11,OUT_OF_FORM
INF251K01RA3,17,ON_TRACK
INF955L01II9,9,ON_TRACK
INF754K01II8,7,IN_FORM
INF173K01197,24,OUT_OF_FORM
INF740KA1RC7,,IN_FORM
INF277K01PY2,20,OFF_TRACK
INF109KC13J1,1,IN_FORM
INF760K01ED5,18,ON_TRACK
INF277K010S4,12,ON_TRACK
INF740K01151,2,IN_FORM
INF247L01AD9,9,IN_FORM
INF666M01600,21,OFF_TRACK
INF879O01183,1,IN_FORM
INF204K01HZ0,6,IN_FORM
INF179KA1RT1,4,IN_FORM
INF209KB1V91,,ON_TRACK
INF277K01NC3,19,OFF_TRACK
INF666M01CZ7,21,OUT_OF_FORM
INF903J01652,2,IN_FORM
INF582M01IS8,14,ON_TRACK
INF205KA1064,18,OFF_TRACK
INF173K01HC6,5,IN_FORM
INF174KA1PA0,5,IN_FORM
INF760K01JE2,14,OFF_TRACK
INF205KA1213,14,ON_TRACK
INF740K01NO5,9,ON_TRACK
INF209KB1O41,7,OFF_TRACK
INF767K01857,17,OFF_TRACK
INF903J01546,13,OFF_TRACK
INF179K01AD6,6,IN_FORM
INF204KC1GJ2,,ON_TRACK
INF663L01GX2,29,OUT_OF_FORM
INF966L01861,23,OFF_TRACK
INF336L01AD0,22,ON_TRACK
INF879O01209,1,IN_FORM
INF192K01635,19,ON_TRACK
INF767K01ND1,25,OUT_OF_FORM
INF917K01LB0,16,OFF_TRACK
INF090I01742,2,IN_FORM
INF789F01885,10,ON_TRACK
INF00XX01937,14,ON_TRACK
INF109KC1W25,5,IN_FORM
INF277K014Z1,12,OFF_TRACK
INF789F1AUY5,20,OFF_TRACK
INF090I01FG1,2,IN_FORM
INF174KA1RY6,1,IN_FORM
INF044D01799,27,OUT_OF_FORM
INF109KA13J5,13,ON_TRACK
INF200KB1928,3,ON_TRACK
INF200K01RH5,11,ON_TRACK
INF251K01ON3,11,IN_FORM
INF194KB1DT1,4,IN_FORM
INF109KA11J9,13,ON_TRACK
INF174KA1XK3,,ON_TRACK
INF277K012S0,12,ON_TRACK
INF204KC1EN9,,ON_TRACK
INF582M01GD4,20,OUT_OF_FORM
INF666M01FL0,27,OUT_OF_FORM
INF277K01QY0,11,ON_TRACK
INF846K01743,15,OFF_TRACK
INF846K014F5,5,IN_FORM
INF189A01038,27,OUT_OF_FORM
INF204K01588,11,ON_TRACK
INF044D01906,19,OUT_OF_FORM
INF090I01FL1,9,IN_FORM
INF174KA1OY3,1,ON_TRACK
INF740KA1TY7,,IN_FORM
INF846K01E58,28,OUT_OF_FORM
INF959L01DC5,23,OFF_TRACK
INF846K01XR2,11,ON_TRACK
INF846K015W7,5,IN_FORM
INF740K01AC7,13,ON_TRACK
INF173K01HD4,5,IN_FORM
INF959L01CW5,24,OUT_OF_FORM
INF179KC1AR9,4,ON_TRACK
INF767K01022,26,OUT_OF_FORM
INF846K01DZ7,15,OFF_TRACK
INF204KC1CD4,2,IN_FORM
INF846K016E3,7,IN_FORM
INF251K01PP5,19,OFF_TRACK
INF397L01AY8,8,IN_FORM
INF174KA1SK3,,IN_FORM
INF179KC1CB9,,ON_TRACK
INF846K017E1,7,IN_FORM
INF174K01302,1,IN_FORM
INF174KA1SQ0,4,IN_FORM
INF789FB1RI2,13,IN_FORM
INF204K01I43,5,ON_TRACK
INF761K01199,4,IN_FORM
INF740KA1WF0,,IN_FORM
INF959L01DG6,23,OFF_TRACK
INF200K01RL7,12,OFF_TRACK
INF194K01607,19,OUT_OF_FORM
INF277K015Z8,6,OFF_TRACK
INF740K01K57,17,OFF_TRACK
INF200K01UK3,2,IN_FORM
INF109K01EQ7,1,IN_FORM
INF204K01I27,5,ON_TRACK
INF109KB1NM9,13,IN_FORM
INF090I01JF5,1,IN_FORM
INF204KB13Z8,,IN_FORM
INF209KA1TT1,14,OFF_TRACK
INF680P01224,26,OUT_OF_FORM
INF090I01GS4,6,IN_FORM
INF200K01784,7,ON_TRACK
INF192K01CB9,19,ON_TRACK
INF00XX01655,27,OUT_OF_FORM
INF090I01GY2,7,ON_TRACK
INF174V01077,5,IN_FORM
INF174KA1NA5,,ON_TRACK
INF582M01HE0,21,OFF_TRACK
INF174K01401,5,IN_FORM
INF754K01QU6,1,IN_FORM
INF179K01XI7,6,IN_FORM
INF761K01181,11,ON_TRACK
INF966L01CH1,9,OFF_TRACK
INF174KA1VS0,10,IN_FORM
INF789F1A751,3,IN_FORM
INF754K01QQ4,1,IN_FORM
INF204K01I35,5,ON_TRACK
INF192K01CE3,23,ON_TRACK
INF204K01K31,6,IN_FORM
INF179KA1KQ2,15,ON_TRACK
INF247L01DZ6,,IN_FORM
INF200KA17E4,15,ON_TRACK
INF277K016Q5,3,IN_FORM
INF192K01HS2,12,ON_TRACK
INF109K1A278,,IN_FORM
INF767K01832,17,OFF_TRACK
INF205K01MA0,8,IN_FORM
INF740K01OK1,3,IN_FORM
INF194K01292,6,IN_FORM
INF846K01B44,31,OUT_OF_FORM
INF109K01Y07,1,IN_FORM
INF090I01288,7,ON_TRACK
INF179K01YU0,7,IN_FORM
INF789F01SJ1,6,IN_FORM
INF200K01CU0,16,OFF_TRACK
INF251K01OZ7,14,ON_TRACK
INF789F1AVG0,,IN_FORM
INF174V01AF9,3,IN_FORM
INF174KA1TE4,1,IN_FORM
INF754K01MX9,17,IN_FORM
INF090I01221,9,IN_FORM
INF247L01411,17,OFF_TRACK
INF204K01471,2,IN_FORM
INF174KA1WS8,,IN_FORM
INF582M01302,27,OFF_TRACK
INF03VN01712,2,IN_FORM
INF194K01RX7,16,OFF_TRACK
INF846K01A52,14,ON_TRACK
INF789F1AYV3,13,ON_TRACK
INF174K01393,5,IN_FORM
INF109K018M4,3,IN_FORM
INF200KA1523,1,IN_FORM
INF109KA1TZ9,1,IN_FORM
INF204K01E39,5,IN_FORM
INF090I01WP7,10,ON_TRACK
INF846K01W56,8,OFF_TRACK
INF917K01XQ3,13,OFF_TRACK
INF846K01172,29,OUT_OF_FORM
INF174KA1TM7,,ON_TRACK
INF846K01W23,8,OFF_TRACK
INF194KB1CM8,13,ON_TRACK
INF044D01CC5,27,OUT_OF_FORM
INF740KA1UQ1,,IN_FORM
INF767K01FF2,19,IN_FORM
INF582M01EP3,8,ON_TRACK
INF200KB1365,3,IN_FORM
INF174K01LA0,5,IN_FORM
INF00XX01408,15,ON_TRACK
INF767K01501,7,IN_FORM
INF966L01531,4,IN_FORM
INF917K01QV7,17,ON_TRACK
INF200KA1DA4,12,ON_TRACK
INF666M01BF1,21,OUT_OF_FORM
INF754K01UY0,,ON_TRACK
INF174KA1UQ6,,ON_TRACK
INF192K01HG7,12,ON_TRACK
INF200KB1944,3,ON_TRACK
INF903J01561,13,OFF_TRACK
INF109K01S62,2,IN_FORM
INF666M01FM8,27,OUT_OF_FORM
INF174K01LU8,8,IN_FORM
INF205KA1056,18,OFF_TRACK
INF740KA1WN4,1,IN_FORM
INF178L01087,9,ON_TRACK
INF204K01YZ5,7,ON_TRACK
INF740KA1CS5,1,IN_FORM
INF174KA1HU5,1,IN_FORM
INF204K01FH2,7,ON_TRACK
INF044D01815,27,OUT_OF_FORM
INF846K01J87,15,OFF_TRACK
INF090I01981,5,IN_FORM
INF579M01AO0,16,ON_TRACK
INF247L01BR7,,OFF_TRACK
INF966L01648,23,OUT_OF_FORM
INF277KA1BI9,,IN_FORM
INF209K01470,13,OFF_TRACK
INF090I01WQ5,10,ON_TRACK
INF204KB18V6,1,IN_FORM
INF760K01084,22,ON_TRACK
INF789F1AB48,2,IN_FORM
INF966L01AK9,3,ON_TRACK
INF209K01462,16,OFF_TRACK
INF740K01128,25,OFF_TRACK
INF761K01645,18,OFF_TRACK
INF843K01062,13,ON_TRACK
INF251K01SV7,11,IN_FORM
INF251K01AX1,15,ON_TRACK
INF174V01AP8,15,ON_TRACK
INF917K01QA1,13,OFF_TRACK
INF582M01DK6,24,OUT_OF_FORM
INF740K01K99,17,OFF_TRACK
INF917K01QM6,17,ON_TRACK
INF789F1AUS7,2,IN_FORM
INF00XX01AQ6,17,OFF_TRACK
INF277KA1DJ3,,IN_FORM
INF109KC10E8,6,IN_FORM
INF192K01BM8,23,ON_TRACK
INF200K01230,29,OFF_TRACK
INF277KA1DC8,,ON_TRACK
INF754K01TN5,,IN_FORM
INF277K012Z5,12,OFF_TRACK
INF789F01364,14,OUT_OF_FORM
INF109KC17U9,4,IN_FORM
INF194K01581,19,OUT_OF_FORM
INF03VN01605,3,IN_FORM
INF194KB1CQ9,15,IN_FORM
INF277KA1BU4,,ON_TRACK
INF754K01NO6,2,IN_FORM
INF109K013O1,9,ON_TRACK
INF959L01EK6,30,OUT_OF_FORM
INF109K012K1,2,IN_FORM
INF204K01K23,6,IN_FORM
INF179K01574,2,IN_FORM
INF966L01CE8,9,OFF_TRACK
INF959L01DK8,23,OFF_TRACK
INF204K01935,5,ON_TRACK
INF666M01HJ0,7,IN_FORM
INF760K01EE3,18,ON_TRACK
INF179K01VK7,2,IN_FORM
INF174KA1WE8,,IN_FORM
INF209K01769,4,IN_FORM
INF200KA17O3,3,IN_FORM
INF277K01DY8,18,OUT_OF_FORM
INF789F01521,36,OUT_OF_FORM
INF582M01104,16,ON_TRACK
INF966L01BO9,16,ON_TRACK
INF903J01OP6,18,OFF_TRACK
INF959L01EI0,30,OUT_OF_FORM
INF767K01139,32,ON_TRACK
INF109K01EC7,2,IN_FORM
INF767K01865,17,OFF_TRACK
INF209KA1TS3,14,OFF_TRACK
INF209K012W5,12,OFF_TRACK
INF209K015W8,12,OFF_TRACK
INF200KA16W8,8,OFF_TRACK
INF174K01195,3,IN_FORM
INF044D01BZ8,28,OUT_OF_FORM
INF760K01EZ8,17,OFF_TRACK
INF173K01262,5,IN_FORM
INF754K01NH0,,IN_FORM
INF740K01NP2,9,ON_TRACK
INF903JA1LD4,8,IN_FORM
INF760K01167,19,OFF_TRACK
INF397L01315,17,OFF_TRACK
INF209K01WM6,16,OFF_TRACK
INF204KA1W69,16,OFF_TRACK
INF769K01GO8,6,OFF_TRACK
INF205K013T3,2,IN_FORM
INF090I01239,9,IN_FORM
INF194KB1DY1,2,IN_FORM
INF761K01025,18,OFF_TRACK
INF666M01IG4,,IN_FORM
INF917K01QS3,17,ON_TRACK
INF194KB1IV6,2,IN_FORM
INF192K01MU8,21,OFF_TRACK
INF740KA1NN3,6,OUT_OF_FORM
INF959L01EF6,30,OUT_OF_FORM
INF044D01CO0,17,OUT_OF_FORM
INF109KC1O09,2,IN_FORM
INF767K01808,17,OFF_TRACK
INF209KC1365,,OFF_TRACK
INF174KA1WF5,,IN_FORM
INF959L01HQ6,,IN_FORM
INF174KA1178,15,ON_TRACK
INF090I01PB1,15,OFF_TRACK
INF194KB1IZ7,,IN_FORM
INF109K016L0,3,IN_FORM
INF174K01F42,1,IN_FORM
INF966L01705,12,OFF_TRACK
INF174KA1OS5,,ON_TRACK
INF174KA1VT8,10,IN_FORM
INF582M01EW9,18,ON_TRACK
INF090I01GB0,15,ON_TRACK
INF740KA1520,10,ON_TRACK
INF204K01F04,11,ON_TRACK
INF173K01569,22,OFF_TRACK
INF666M01DF7,21,OUT_OF_FORM
INF204K01G45,3,IN_FORM
INF174KA1NC1,,ON_TRACK
INF174KA1WQ2,,IN_FORM
INF666M01FH8,27,OUT_OF_FORM
INF209KC1613,,IN_FORM
INF205K01MQ6,22,OUT_OF_FORM
INF789F1A785,3,IN_FORM
INF200K01UC0,7,ON_TRACK
INF174K01328,1,IN_FORM
INF760K01EG8,19,OFF_TRACK
INF209KB1U92,5,ON_TRACK
INF179K01822,1,IN_FORM
INF760K01JX2,13,ON_TRACK
INF090I01171,20,OFF_TRACK
INF209K01751,4,IN_FORM
INF200K01TY6,7,ON_TRACK
INF754K01LX1,,IN_FORM
INF903JA1LU8,,ON_TRACK
INF0J8L01156,35,OUT_OF_FORM
INF200K01859,3,IN_FORM
INF194KB1GE6,13,OFF_TRACK
INF209K01CN6,26,OUT_OF_FORM
INF204KC1DG5,,IN_FORM
INF174KA1PD4,5,IN_FORM
INF754K01251,7,IN_FORM
INF846K01VJ3,11,ON_TRACK
INF846K01K01,9,ON_TRACK
INF194KB1HA2,,ON_TRACK
INF204K013R8,9,ON_TRACK
INF917K01D38,16,IN_FORM
INF579M01AQ5,28,OFF_TRACK
INF109K015M0,18,OFF_TRACK
INF109K01EH6,7,IN_FORM
INF760K01175,19,OFF_TRACK
INF959L01DM4,23,OFF_TRACK
INF00XX01BN1,10,OFF_TRACK
INF966L01259,4,IN_FORM
INF090I01PJ4,15,OFF_TRACK
INF00XX01457,21,ON_TRACK
INF205KA1346,9,OFF_TRACK
INF754K01OR7,10,ON_TRACK
INF277KA1BJ7,,IN_FORM
INF769K01EZ9,11,ON_TRACK
INF663L01GU8,25,OUT_OF_FORM
INF109K01FN1,17,ON_TRACK
INF277K018Z2,6,OFF_TRACK
INF767K01RA8,23,OFF_TRACK
INF179KC1HF9,6,OFF_TRACK
INF109K012O3,9,ON_TRACK
INF247L01916,1,IN_FORM
INF179K01426,11,ON_TRACK
INF223J019L8,20,ON_TRACK
INF740KA1VP1,10,ON_TRACK
INF174V01507,6,IN_FORM
INF760K01JG7,14,OFF_TRACK
INF209KB1W58,12,ON_TRACK
INF769K01127,10,ON_TRACK
INF209K01EO0,16,OFF_TRACK
INF740K01169,3,IN_FORM
INF179K01814,1,IN_FORM
INF174KA1202,15,ON_TRACK
INF209KB1Y56,21,OUT_OF_FORM
INF966L01119,12,ON_TRACK
INF223J01EZ9,20,OUT_OF_FORM
INF397L01JP7,22,OUT_OF_FORM
INF1J2R01072,33,ON_TRACK
INF277K018Q1,3,IN_FORM
INF090I01FF3,2,IN_FORM
INF966L01457,14,ON_TRACK
INF740K01110,25,OFF_TRACK
INF666M01JP3,,IN_FORM
INF277K01CW4,24,OUT_OF_FORM
INF109K01IF1,10,IN_FORM
INF174V01911,16,OFF_TRACK
INF209K01108,26,OFF_TRACK
INF179K01UT0,1,IN_FORM
INF761K01652,18,OFF_TRACK
INF740KA1QZ0,,IN_FORM
INF109KC16J4,1,IN_FORM
INF200KA1Y40,2,IN_FORM
INF251K01OW4,14,ON_TRACK
INF090I01PL0,15,OFF_TRACK
INF205K01254,8,IN_FORM
INF277KA1DB0,,ON_TRACK
INF789F01TM3,8,OFF_TRACK
INF174K01LS2,20,ON_TRACK
INF843K01KE4,4,IN_FORM
INF959L01EL4,30,OUT_OF_FORM
INF205K01MD4,10,ON_TRACK
INF109K010O7,1,IN_FORM
INF209K014W1,12,OFF_TRACK
INF173K01247,5,IN_FORM
INF903J01OV4,18,OFF_TRACK
INF582M01GY0,21,OFF_TRACK
INF209K01Q71,16,OFF_TRACK
INF189A01053,37,OUT_OF_FORM
INF247L01940,2,IN_FORM
INF251K01HL1,15,ON_TRACK
INF760K01027,18,ON_TRACK
INF206A01022,10,ON_TRACK
INF174K01450,7,IN_FORM
INF740KA1DK0,16,ON_TRACK
INF582M01GZ7,21,OFF_TRACK
INF179K01AO3,13,OUT_OF_FORM
INF277KA1BP4,,ON_TRACK
INF0QA701BH4,17,ON_TRACK
INF789F01752,14,OFF_TRACK
INF760K01KR2,11,ON_TRACK
INF209K01256,5,IN_FORM
INF767K01ES8,17,OFF_TRACK
INF109K01Z22,3,ON_TRACK
INF251K01PR1,8,ON_TRACK
INF205KA1502,11,ON_TRACK
INF179K01AM7,8,ON_TRACK
INF200K01917,3,IN_FORM
INF205K01DP7,22,OUT_OF_FORM
INF761K01819,8,ON_TRACK
INF767K01EM1,34,OUT_OF_FORM
INF204K01YV4,7,ON_TRACK
INF090I01JS8,8,IN_FORM
INF959L01FR8,4,IN_FORM
INF917K01973,7,IN_FORM
INF846K016H6,,ON_TRACK
INF666M01CM5,21,OFF_TRACK
INF769K01GV3,6,IN_FORM
INF174V01BH3,7,ON_TRACK
INF204KC1FF2,18,IN_FORM
INF277K01PK1,24,ON_TRACK
INF917K01KW8,28,OUT_OF_FORM
INF740K01OA2,13,ON_TRACK
INF740KA1MD6,3,IN_FORM
INF179K01608,1,IN_FORM
INF789F01919,10,ON_TRACK
INF194KB1DS3,4,IN_FORM
INF397L01KN0,20,OUT_OF_FORM
INF109K018W3,4,IN_FORM
INF666M01618,21,OFF_TRACK
INF966L01853,21,OFF_TRACK
INF247L01DX1,,IN_FORM
INF754K01TL9,,IN_FORM
INF174K01LH5,3,IN_FORM
INF109KC1N91,2,IN_FORM
INF174K01LF9,3,IN_FORM
INF109KC12A2,1,IN_FORM
INF336L01RE2,5,IN_FORM
INF179KC1GD6,13,ON_TRACK
INF204KC1105,26,OFF_TRACK
INF846K011A2,7,OUT_OF_FORM
INF740K01K73,17,OFF_TRACK
INF959L01EM2,30,OUT_OF_FORM
INF173K01ES9,9,OUT_OF_FORM
INF760K01EH6,19,OFF_TRACK
INF204KA1X01,16,OFF_TRACK
INF754K01BU8,6,IN_FORM
INF846K01K19,9,ON_TRACK
INF204K01547,1,IN_FORM
INF879O01100,7,IN_FORM
INF179K01AN5,13,OUT_OF_FORM
INF200KA17Y2,37,ON_TRACK
INF174V01341,3,IN_FORM
INF760K01KM3,12,ON_TRACK
INF903J01G18,11,OFF_TRACK
INF277K01Z44,4,ON_TRACK
INF205K01262,8,IN_FORM
INF760K01FR2,12,ON_TRACK
INF767K01RM3,5,IN_FORM
INF200K01446,2,IN_FORM
INF769K01EY2,11,ON_TRACK
INF740KA1WI4,1,IN_FORM
INF251K01PN0,19,OFF_TRACK
INF846K01180,29,OUT_OF_FORM
INF846KA1044,,ON_TRACK
INF179KC1BT3,12,ON_TRACK
INF666M01CW4,21,OFF_TRACK
INF789F1AYS9,2,ON_TRACK
INF205K01155,5,IN_FORM
INF789F01AP6,10,OFF_TRACK
INF194KB1CT3,15,IN_FORM
INF767K01ED0,26,OUT_OF_FORM
INF966L01440,14,ON_TRACK
INF843K01AM8,13,ON_TRACK
INF579M01894,8,ON_TRACK
INF0R8F01018,1,IN_FORM
INF194KA1UE8,21,OFF_TRACK
INF247L01BC9,,ON_TRACK
INF767K01EH1,32,OUT_OF_FORM
INF789F1AYO8,1,IN_FORM
INF740KA1NR4,6,OUT_OF_FORM
INF680P01182,26,OUT_OF_FORM
INF760K01JY0,13,ON_TRACK
INF174KA1UO1,2,IN_FORM
INF173K01EM2,24,OUT_OF_FORM
INF109K01EP9,3,IN_FORM
INF179K01WP4,8,ON_TRACK
INF179KC1JH1,,IN_FORM
INF769K01KH4,6,IN_FORM
INF789F01UH1,10,ON_TRACK
INF090I01IR2,5,ON_TRACK
INF740KA1PN8,15,ON_TRACK
INF200K01RK9,12,OFF_TRACK
INF769K01IN6,5,IN_FORM
INF200KB1829,,IN_FORM
INF903J01462,12,OFF_TRACK
INF194K01SB1,16,OFF_TRACK
INF179K01BD4,7,IN_FORM
INF03VN01654,4,IN_FORM
INF179KA1KL3,15,ON_TRACK
INF846K01EW2,33,OUT_OF_FORM
INF194KB1CL0,13,ON_TRACK
INF846K01ET8,11,OFF_TRACK
INF251K01PA7,14,ON_TRACK
INF194KB1DU9,4,IN_FORM
INF740K01PU7,2,IN_FORM
INF666M01JK4,,IN_FORM
INF917K01QT1,17,ON_TRACK
INF109K01BH2,4,IN_FORM
INF789FB1RE1,13,IN_FORM
