ISIN,RANK,POWERRATING
INF0QA701BD3,17,ON_TRACK
INF174KA1WG3,,IN_FORM
INF846K01S37,27,ON_TRACK
INF090I01IQ4,20,OFF_TRACK
INF194KB1CI6,13,ON_TRACK
INF205KA1486,11,ON_TRACK
INF767K01PR6,19,ON_TRACK
INF194KB1GC0,13,OFF_TRACK
INF209K01Q30,26,OUT_OF_FORM
INF109KC1W66,5,IN_FORM
INF663L01GT0,25,OUT_OF_FORM
INF192K01BR7,16,ON_TRACK
INF192K01KY4,23,ON_TRACK
INF754K01LV5,,IN_FORM
INF173K01965,18,OFF_TRACK
INF336L01CK1,19,OFF_TRACK
INF205K01DO0,22,OUT_OF_FORM
INF194KB1IR4,,IN_FORM
INF277KA1BQ2,,ON_TRACK
INF194KB1EA9,2,IN_FORM
INF579M01928,8,ON_TRACK
INF277KA1CO5,,IN_FORM
INF247L01890,3,IN_FORM
INF666M01HL6,7,IN_FORM
INF277K017Z4,6,OFF_TRACK
INF754K01PZ7,,ON_TRACK
INF209KC1332,,OFF_TRACK
INF200K01TC2,20,IN_FORM
INF205K01CD5,10,ON_TRACK
INF251K01HP2,15,ON_TRACK
INF959L01CE3,37,OUT_OF_FORM
INF582M01GN3,16,OFF_TRACK
INF209KC1589,,IN_FORM
INF109KA14I5,13,ON_TRACK
INF903J01F76,11,OFF_TRACK
INF109K014L5,3,IN_FORM
INF090I01GJ3,13,ON_TRACK
INF917K01GE4,7,IN_FORM
INF740KA1VA3,8,IN_FORM
INF769K01FA9,11,ON_TRACK
INF680P01133,38,OUT_OF_FORM
INF204K01463,2,IN_FORM
INF0K1H01016,34,OUT_OF_FORM
INF277K01Z28,3,IN_FORM
INF174KA1SN7,,IN_FORM
INF00XX01CN9,5,IN_FORM
INF754K01NP3,2,IN_FORM
INF174V01093,5,IN_FORM
INF966L01218,20,OFF_TRACK
INF204KC1BW6,8,IN_FORM
INF397L01LH0,11,OUT_OF_FORM
INF277K01Z77,4,ON_TRACK
INF917K01TX7,16,OFF_TRACK
INF209KB14R2,3,IN_FORM
INF846K012I3,2,IN_FORM
INF917K01GP0,24,ON_TRACK
INF174K01443,7,IN_FORM
INF666M01CR4,21,OFF_TRACK
INF767K01162,19,IN_FORM
INF204KC1FD7,18,IN_FORM
INF789F01745,14,OFF_TRACK
INF846K01867,18,OFF_TRACK
INF173K01HG7,5,IN_FORM
INF179K01319,15,ON_TRACK
INF173K01NB6,22,ON_TRACK
INF205KA1452,11,ON_TRACK
INF209K01VQ9,5,IN_FORM
INF247L01981,5,IN_FORM
INF209KB1W74,12,ON_TRACK
INF209K01AJ8,13,ON_TRACK
INF209K01P80,5,IN_FORM
INF200KB1613,3,IN_FORM
INF179K01AP0,13,OUT_OF_FORM
INF204KB15Z3,8,IN_FORM
INF200K01RI3,11,ON_TRACK
INF846K01CJ3,26,OUT_OF_FORM
INF090I01FK3,9,IN_FORM
INF204KA1W93,16,OFF_TRACK
INF277K011S2,12,ON_TRACK
INF277K016A9,3,IN_FORM
INF579M01AK8,2,IN_FORM
INF173K01AI8,,IN_FORM
INF247L01AV1,6,ON_TRACK
INF740KA1439,10,ON_TRACK
INF754K01095,6,IN_FORM
INF761K01231,4,IN_FORM
INF767K01FH8,19,IN_FORM
INF209KB1Y23,21,OUT_OF_FORM
INF760K01EF0,18,ON_TRACK
INF740KA1UO6,4,IN_FORM
INF277KA1018,6,OFF_TRACK
INF109K011N7,7,IN_FORM
INF090I01775,8,IN_FORM
INF223J019N4,20,ON_TRACK
INF179K01335,15,ON_TRACK
INF200KA10F6,15,ON_TRACK
INF194KB1GY4,,ON_TRACK
INF277KA1620,,ON_TRACK
INF090I01GF1,13,ON_TRACK
INF209K01397,2,IN_FORM
INF846K01E41,28,OUT_OF_FORM
INF200K01TD0,20,IN_FORM
INF174KA1FY1,2,IN_FORM
INF754K01IL2,7,IN_FORM
INF754K01NF4,,IN_FORM
INF192K01643,23,ON_TRACK
INF582M01120,16,ON_TRACK
INF082J01374,20,ON_TRACK
INF336L01PE6,12,ON_TRACK
INF767K01NH2,15,OUT_OF_FORM
INF109K01BN0,3,IN_FORM
INF966L01663,10,ON_TRACK
INF277K017O8,17,OFF_TRACK
INF761K01FE8,12,ON_TRACK
INF397L01KR1,20,OUT_OF_FORM
INF204K01265,5,IN_FORM
INF090I01726,22,OFF_TRACK
INF174K01336,20,ON_TRACK
INF754K01QP6,1,IN_FORM
INF761K01637,18,OFF_TRACK
INF204KB17Z9,8,IN_FORM
INF090I01JD0,1,IN_FORM
INF205K01163,5,IN_FORM
INF247L01676,29,OUT_OF_FORM
INF109K015O6,12,IN_FORM
INF903JA1JD8,24,OUT_OF_FORM
INF760K01FO9,5,IN_FORM
INF223J011M3,20,ON_TRACK
INF109K014M3,18,OFF_TRACK
INF846K01719,15,OFF_TRACK
INF209KB1U43,5,ON_TRACK
INF760K01DT3,2,IN_FORM
INF204K01380,11,ON_TRACK
INF251K01RH8,9,ON_TRACK
INF179K01AL9,8,ON_TRACK
